1000 3
0.845295 0.327210 0.520000 
0.653033 0.572246 0.039012 
0.474161 0.765737 0.353686 
0.591272 0.465330 0.668356 
0.490706 0.806838 0.359323 
0.578833 0.179618 0.607332 
0.172282 0.535408 0.733687 
0.800418 0.676626 0.108399 
0.760728 0.640365 0.153031 
0.049443 0.656403 0.919424 
0.063430 0.436880 0.989328 
0.492322 0.453230 0.490417 
0.380337 0.288427 0.921318 
0.433751 0.492143 0.571757 
0.753076 0.662811 0.036725 
0.249457 0.373082 0.972560 
0.562748 0.711632 0.240113 
0.501453 0.684495 0.364552 
0.764331 0.695444 0.018966 
0.215517 0.387107 0.986591 
0.836831 0.541915 0.197741 
0.250628 0.541154 0.570557 
0.757901 0.283655 0.443777 
0.370852 0.258159 0.915330 
0.617746 0.745576 0.012159 
0.492274 0.794895 0.181935 
0.555673 0.647343 0.171548 
0.774587 0.125237 0.700632 
0.741690 0.057392 0.687169 
0.635430 0.280080 0.473208 
0.158619 0.491293 0.836432 
0.922383 0.158367 0.534478 
0.516186 0.224810 0.973184 
0.611269 0.189820 0.853368 
0.095203 0.653294 0.531560 
0.006218 0.944026 0.766949 
0.538068 0.797050 0.189937 
0.702185 0.822807 0.004102 
0.129690 0.898008 0.473786 
0.831141 0.308379 0.421739 
0.137672 0.802118 0.455968 
0.654444 0.198172 0.788947 
0.025860 0.704935 0.693083 
0.388361 0.584664 0.340271 
0.181504 0.807827 0.328165 
0.077313 0.678566 0.800572 
0.079207 0.975927 0.578966 
0.443732 0.359029 0.827398 
0.965970 0.078192 0.417804 
0.192131 0.544697 0.702984 
0.818998 0.569995 0.074903 
0.671712 0.371333 0.248387 
0.211101 0.774950 0.736286 
0.467560 0.294204 0.900529 
0.243907 0.752935 0.581165 
0.951654 0.232844 0.131423 
0.388970 0.528192 0.389243 
0.362182 0.580609 0.622962 
0.277829 0.507050 0.624636 
0.449244 0.703060 0.558841 
0.600920 0.350813 0.653902 
0.492638 0.420306 0.881343 
0.577628 0.326833 0.687065 
0.382860 0.685495 0.295346 
0.717769 0.542712 0.167717 
0.187236 0.779138 0.646666 
0.112946 0.841167 0.634171 
0.570480 0.987260 0.106411 
0.350279 0.333870 0.699733 
0.182339 0.637861 0.776021 
0.521556 0.435388 0.650077 
0.068286 0.796548 0.783480 
0.446275 0.456821 0.576061 
0.911024 0.076540 0.570168 
0.668865 0.829642 0.064026 
0.221830 0.541171 0.725117 
0.595994 0.186822 0.529224 
0.891298 0.525159 0.278723 
0.476706 0.335565 0.744095 
0.044077 0.574374 0.751628 
0.598006 0.135994 0.519064 
0.218090 0.488342 0.821838 
0.775399 0.277291 0.529489 
0.163798 0.622897 0.512756 
0.708923 0.451073 0.439781 
0.489584 0.759342 0.220708 
0.275669 0.705599 0.436970 
0.619095 0.677506 0.241719 
0.482614 0.684021 0.220184 
0.649316 0.559163 0.394315 
0.229206 0.861303 0.364110 
0.703849 0.024721 0.877629 
0.475121 0.428968 0.729636 
0.378706 0.529710 0.528593 
0.063586 0.854611 0.685021 
0.270940 0.575707 0.584352 
0.426277 0.404346 0.747054 
0.310730 0.764842 0.320099 
0.621493 0.383732 0.435882 
0.721007 0.461152 0.560613 
0.430897 0.274598 0.813985 
0.725904 0.217680 0.578398 
0.747694 0.068276 0.796011 
0.603853 0.558645 0.543789 
0.266722 0.882613 0.327418 
0.117880 0.756523 0.719166 
0.800141 0.433858 0.305539 
0.288077 0.792172 0.477598 
0.702292 0.382280 0.255673 
0.524276 0.530046 0.347706 
0.201378 0.761830 0.866168 
0.329451 0.751994 0.405316 
0.189551 0.889722 0.526188 
0.100347 0.888942 0.457905 
0.337217 0.676458 0.572172 
0.617905 0.580750 0.248247 
0.767448 0.620245 0.177998 
0.576434 0.574263 0.195644 
0.065069 0.412679 0.842356 
0.661216 0.641306 0.178058 
0.485529 0.817228 0.301164 
0.304842 0.894373 0.037891 
0.494548 0.011670 0.961839 
0.422432 0.672259 0.454105 
0.339905 0.309756 0.614703 
0.630426 0.675356 0.121274 
0.294285 0.333634 0.775025 
0.404335 0.355794 0.970297 
0.932253 0.304150 0.548254 
0.829900 0.309084 0.281999 
0.599390 0.097239 0.939512 
0.281627 0.696700 0.452460 
0.337246 0.084752 0.867349 
0.682775 0.434587 0.271837 
0.397577 0.998819 0.181219 
0.535644 0.976756 0.087619 
0.610660 0.044112 0.765873 
0.035254 0.537990 0.772723 
0.101334 0.621869 0.585600 
0.000269 0.934712 0.476530 
0.410384 0.809015 0.344009 
0.335293 0.554531 0.795839 
0.955673 0.067460 0.535325 
0.712953 0.562286 0.332012 
0.907712 0.114519 0.555843 
0.786937 0.431811 0.234748 
0.050360 0.709785 0.531291 
0.272094 0.849005 0.357394 
0.313359 0.400370 0.753881 
0.375760 0.614128 0.513282 
0.273460 0.662576 0.646065 
0.809343 0.660847 0.193748 
0.467944 0.383820 0.621320 
0.528980 0.333095 0.505182 
0.468787 0.354221 0.778656 
0.826224 0.436091 0.429900 
0.372475 0.666019 0.454368 
0.499573 0.444597 0.329415 
0.664519 0.253945 0.427027 
0.363606 0.736962 0.413147 
0.542552 0.087866 0.829078 
0.773443 0.400396 0.276881 
0.168393 0.512945 0.842597 
0.891339 0.356863 0.079242 
0.128093 0.740186 0.549026 
0.723245 0.181744 0.713764 
0.685098 0.714968 0.081595 
0.456368 0.952226 0.102310 
0.220753 0.577284 0.717579 
0.111461 0.551176 0.800915 
0.314346 0.517171 0.580653 
0.208564 0.748162 0.331829 
0.561708 0.702999 0.025170 
0.860769 0.293276 0.099746 
0.208319 0.747869 0.337186 
0.172198 0.704326 0.472833 
0.453284 0.610544 0.479851 
0.657181 0.236088 0.709780 
0.202149 0.928441 0.443217 
0.625603 0.079045 0.868147 
0.369733 0.385907 0.723664 
0.641739 0.154800 0.524625 
0.326891 0.565557 0.653109 
0.017911 0.657068 0.906450 
0.511776 0.900765 0.263107 
0.559112 0.468689 0.543963 
0.408766 0.996541 0.066801 
0.180549 0.543042 0.750307 
0.323190 0.861472 0.335239 
0.357716 0.221370 0.888735 
0.408262 0.727442 0.019862 
0.766219 0.464497 0.254001 
0.743197 0.729715 0.142018 
0.724188 0.480344 0.371302 
0.457959 0.801173 0.100702 
0.300216 0.575066 0.778684 
0.465411 0.175806 0.872832 
0.547514 0.257207 0.911253 
0.385907 0.515748 0.565303 
0.608729 0.688565 0.408467 
0.925211 0.126495 0.463453 
0.744924 0.416074 0.207053 
0.530997 0.125535 0.657359 
0.346972 0.485285 0.813529 
0.580107 0.695781 0.500581 
0.142791 0.940507 0.288783 
0.667785 0.219306 0.688257 
0.468885 0.338647 0.536208 
0.460516 0.820859 0.378640 
0.794029 0.243207 0.253813 
0.487312 0.833772 0.324143 
0.575718 0.334803 0.452587 
0.387923 0.689045 0.696499 
0.872465 0.123984 0.350615 
0.128914 0.641471 0.745921 
0.290801 0.740222 0.735080 
0.711804 0.008186 0.734439 
0.194012 0.543800 0.870422 
0.660059 0.598711 0.121664 
0.960080 0.485235 0.126296 
0.721711 0.279967 0.678252 
0.590498 0.402935 0.562114 
0.881992 0.599728 0.001816 
0.822051 0.526059 0.025440 
0.234471 0.758183 0.331236 
0.557694 0.477129 0.560268 
0.636300 0.429756 0.238333 
0.261569 0.697166 0.720041 
0.252537 0.717645 0.610929 
0.548645 0.812599 0.093779 
0.342287 0.856474 0.249291 
0.201030 0.102904 0.948456 
0.316834 0.562235 0.473912 
0.601680 0.108081 0.499764 
0.122599 0.923721 0.446256 
0.957558 0.337517 0.253114 
0.198353 0.431835 0.726044 
0.168716 0.567335 0.677288 
0.723847 0.223503 0.516573 
0.332796 0.849272 0.253564 
0.547200 0.339670 0.618900 
0.531548 0.536492 0.381563 
0.589126 0.355115 0.629042 
0.580511 0.318159 0.432600 
0.468532 0.312491 0.828424 
0.391468 0.397273 0.813035 
0.545986 0.687993 0.255701 
0.676124 0.604682 0.365110 
0.712460 0.319524 0.537517 
0.868162 0.298708 0.451093 
0.300395 0.349719 0.814160 
0.155053 0.611977 0.821451 
0.083868 0.286943 0.987774 
0.471091 0.153642 0.884178 
0.508172 0.531851 0.438574 
0.139791 0.920067 0.605421 
0.633838 0.219105 0.576266 
0.889397 0.046748 0.588067 
0.230610 0.623778 0.627991 
0.516677 0.319137 0.540176 
0.163882 0.625205 0.859358 
0.675662 0.794271 0.141160 
0.092679 0.330206 0.960871 
0.273394 0.275556 0.837449 
0.682721 0.386597 0.460960 
0.706465 0.399995 0.566148 
0.578612 0.296382 0.493622 
0.265975 0.450811 0.891340 
0.820588 0.036026 0.591233 
0.419270 0.522101 0.576664 
0.582153 0.238621 0.808666 
0.543446 0.503397 0.776734 
0.718436 0.498741 0.163114 
0.486923 0.661453 0.505581 
0.266999 0.319355 0.937090 
0.230987 0.485067 0.742634 
0.577956 0.769550 0.260040 
0.710521 0.142965 0.590565 
0.400623 0.188467 0.883308 
0.713884 0.507986 0.253718 
0.641937 0.646627 0.378509 
0.994214 0.068566 0.409653 
0.720663 0.741933 0.156412 
0.519322 0.573300 0.278618 
0.624126 0.342382 0.337113 
0.328809 0.719053 0.465301 
0.304977 0.199443 0.844375 
0.406889 0.910399 0.560944 
0.340856 0.934461 0.464578 
0.238811 0.925123 0.221464 
0.658247 0.231522 0.651816 
0.271680 0.601752 0.656250 
0.444782 0.397761 0.802649 
0.514478 0.350553 0.331485 
0.574688 0.506507 0.387497 
0.583536 0.065829 0.905694 
0.444375 0.359356 0.833000 
0.459961 0.559669 0.396078 
0.239652 0.495377 0.706637 
0.169627 0.580971 0.840559 
0.379446 0.709584 0.480586 
0.403638 0.738433 0.193192 
0.595954 0.641785 0.194100 
0.453868 0.250573 0.873451 
0.945278 0.157875 0.417538 
0.679243 0.617867 0.096582 
0.200349 0.690996 0.532636 
0.079693 0.958909 0.603749 
0.048170 0.873572 0.512381 
0.201163 0.717127 0.547409 
0.626227 0.232087 0.768941 
0.190532 0.784190 0.371053 
0.885664 0.085080 0.510347 
0.375891 0.847852 0.267625 
0.686579 0.594813 0.216364 
0.307462 0.597378 0.744892 
0.700025 0.459241 0.190434 
0.184722 0.620508 0.567642 
0.103690 0.498412 0.886899 
0.691937 0.628204 0.134879 
0.172100 0.860532 0.295811 
0.371613 0.298138 0.705868 
0.056211 0.714411 0.578493 
0.315446 0.861395 0.343893 
0.536980 0.018522 0.973196 
0.700055 0.232507 0.399942 
0.387280 0.646969 0.345819 
0.506865 0.384012 0.622499 
0.421435 0.287216 0.817349 
0.639632 0.653561 0.049539 
0.048968 0.723834 0.753656 
0.808810 0.491122 0.368531 
0.675262 0.547927 0.119667 
0.268193 0.278359 0.771987 
0.105026 0.726077 0.474666 
0.011851 0.656352 0.690996 
0.756643 0.188743 0.598717 
0.374297 0.461544 0.664252 
0.403638 0.294466 0.886870 
0.888623 0.186939 0.546947 
0.426419 0.119282 0.990509 
0.144851 0.683266 0.648338 
0.586983 0.227450 0.515205 
0.317183 0.541395 0.595816 
0.460881 0.448201 0.629093 
0.713230 0.259607 0.524927 
0.297265 0.665101 0.410956 
0.143418 0.779607 0.539552 
0.358137 0.515572 0.470788 
0.646925 0.271642 0.527764 
0.275655 0.906751 0.417927 
0.862251 0.477420 0.013316 
0.940335 0.488086 0.064517 
0.304702 0.725809 0.497753 
0.612810 0.651204 0.250129 
0.729812 0.459477 0.619133 
0.445311 0.755862 0.236906 
0.708887 0.721151 0.228756 
0.198634 0.521270 0.919805 
0.616770 0.471220 0.470255 
0.790290 0.361656 0.582289 
0.857607 0.312088 0.327647 
0.304083 0.535822 0.577312 
0.421871 0.316783 0.549320 
0.687567 0.628865 0.176808 
0.250764 0.926629 0.238377 
0.597708 0.169762 0.561342 
0.400391 0.650813 0.504781 
0.369186 0.768321 0.572914 
0.188755 0.864647 0.338255 
0.905790 0.308571 0.451728 
0.662446 0.031874 0.835528 
0.589061 0.738395 0.118161 
0.870786 0.753600 0.140934 
0.260078 0.651455 0.689455 
0.462324 0.386847 0.632203 
0.895016 0.082659 0.482860 
0.438607 0.852721 0.365919 
0.020795 0.877354 0.335646 
0.253758 0.293507 0.788823 
0.788777 0.032233 0.469064 
0.609533 0.544511 0.535320 
0.610229 0.738725 0.132519 
0.726015 0.388486 0.356108 
0.133504 0.917110 0.613525 
0.427610 0.630595 0.372390 
0.626456 0.311387 0.498869 
0.544007 0.649897 0.527977 
0.673904 0.535420 0.332495 
0.859325 0.539887 0.271512 
0.981663 0.000383 0.565539 
0.121530 0.623718 0.812895 
0.158158 0.484349 0.934680 
0.782255 0.234086 0.623588 
0.015201 0.597807 0.948888 
