1000 3
0.383545 0.994052 0.260177 
0.322591 0.766428 0.500264 
0.213248 0.912572 0.439445 
0.614397 0.051437 0.723799 
0.391011 0.381122 0.801547 
0.705242 0.073995 0.152476 
0.520258 0.405296 0.060558 
0.174057 0.394705 0.608941 
0.336685 0.426085 0.393477 
0.001262 0.143560 0.396197 
0.122171 0.527105 0.390249 
0.382349 0.849696 0.156677 
0.882613 0.062944 0.069249 
0.322058 0.677341 0.120685 
0.045856 0.068352 0.501808 
0.847403 0.773594 0.575803 
0.999879 0.293852 0.981099 
0.060437 0.467909 0.375804 
0.669378 0.804594 0.801889 
0.062856 0.805856 0.945449 
0.459053 0.928027 0.472553 
0.849301 0.310376 0.322249 
0.005978 0.192989 0.385193 
0.075227 0.515046 0.062534 
0.195912 0.560902 0.130886 
0.697720 0.408306 0.904481 
0.273522 0.408185 0.198333 
0.254621 0.468622 0.666241 
0.630425 0.138001 0.470835 
0.432314 0.200856 0.276691 
0.377763 0.659909 0.204718 
0.850316 0.509210 0.515094 
0.172566 0.515188 0.708083 
0.557759 0.590415 0.223129 
0.620293 0.786327 0.784031 
0.751180 0.484046 0.192337 
0.655660 0.757569 0.600522 
0.853993 0.012190 0.069144 
0.520234 0.642615 0.207145 
0.991069 0.074929 0.408001 
0.267760 0.452692 0.067910 
0.472479 0.303008 0.577120 
0.987573 0.475573 0.092308 
0.695655 0.033332 0.682722 
0.918784 0.653626 0.469049 
0.702815 0.404805 0.953095 
0.895152 0.060466 0.710664 
0.495673 0.914459 0.722854 
0.564817 0.434693 0.365469 
0.771962 0.425763 0.440398 
0.179963 0.693523 0.893089 
0.247873 0.166002 0.196097 
0.824993 0.153574 0.671670 
0.917301 0.849230 0.705003 
0.600023 0.768014 0.358628 
0.069072 0.470829 0.763434 
0.022168 0.365980 0.823899 
0.732832 0.861653 0.738358 
0.455686 0.426470 0.173052 
0.821154 0.198432 0.598814 
0.261552 0.378395 0.292337 
0.154641 0.626268 0.458339 
0.350739 0.451261 0.611913 
0.022409 0.368561 0.461143 
