11000 3
0.619221 0.430217 0.512664 
0.709741 0.780817 0.790794 
0.227540 0.316297 0.274900 
0.402896 0.537280 0.375936 
0.225044 0.086065 0.207245 
0.651047 0.490275 0.342972 
0.647075 0.635579 0.681679 
0.290325 0.195253 0.206839 
0.587570 0.389544 0.789039 
0.730043 0.540372 0.734787 
0.528025 0.620539 0.743154 
0.839780 0.578304 0.580821 
0.480807 0.620538 0.380242 
0.292565 0.568142 0.557163 
0.429509 0.258924 0.312047 
0.417545 0.401158 0.423987 
0.393305 0.291770 0.278021 
0.116120 0.137555 0.192291 
0.343295 0.293069 0.313101 
0.765270 0.818725 0.507494 
0.630244 0.710074 0.769786 
0.478556 0.472295 0.335654 
0.317456 0.470538 0.649105 
0.699196 0.595981 0.522807 
0.607955 0.763581 0.593560 
0.433422 0.561462 0.461677 
0.643427 0.629798 0.711526 
0.250365 0.249871 0.219375 
0.859537 0.552424 0.549922 
0.108218 0.215872 0.180890 
0.625293 0.411186 0.481340 
0.252084 0.446872 0.399592 
0.666488 0.619521 0.607661 
0.647555 0.643414 0.565769 
0.510975 0.503914 0.670141 
0.643235 0.468383 0.504551 
0.494715 0.345905 0.711595 
0.590608 0.584947 0.355737 
0.294704 0.512651 0.630196 
0.287411 0.464192 0.436670 
0.444490 0.391315 0.364693 
0.223151 0.229920 0.251611 
0.753111 0.638763 0.780274 
0.354402 0.457650 0.534970 
0.368381 0.360657 0.468859 
0.573500 0.606836 0.600821 
0.510388 0.287176 0.441402 
0.678082 0.791583 0.663210 
0.624659 0.324042 0.475903 
0.447032 0.224310 0.145634 
0.753464 0.519943 0.566261 
0.534272 0.749065 0.431656 
0.166460 0.293884 0.141843 
0.431666 0.441009 0.424951 
0.318696 0.152245 0.264173 
0.681274 0.764852 0.714124 
0.271796 0.197912 0.252345 
0.321602 0.213962 0.242751 
0.421229 0.622187 0.718334 
0.498460 0.593453 0.427519 
0.396442 0.893415 0.289520 
0.311073 0.596038 0.397432 
0.465872 0.668750 0.232118 
0.219399 0.291897 0.433427 
0.637231 0.759851 0.622119 
0.573261 0.550462 0.516996 
0.086887 0.205154 0.295757 
0.523794 0.364264 0.736225 
0.772949 0.655959 0.761843 
0.359028 0.338909 0.453464 
0.316393 0.518687 0.710307 
0.814149 0.872378 0.765729 
0.496811 0.372784 0.382901 
0.718020 0.718393 0.782264 
0.235585 0.542889 0.284050 
0.586697 0.520157 0.437782 
0.527728 0.608335 0.546264 
0.664360 0.441858 0.329584 
0.418003 0.320398 0.455345 
0.710274 0.654308 0.785120 
0.494524 0.373769 0.565002 
0.341219 0.473340 0.334946 
0.542821 0.610785 0.685772 
0.601409 0.672867 0.690747 
0.446599 0.414367 0.255187 
0.813491 0.861017 0.801708 
0.668755 0.597296 0.727830 
0.451581 0.342618 0.499920 
0.722198 0.755986 0.445058 
0.296261 0.139273 0.155727 
0.434869 0.513690 0.659700 
0.556744 0.465899 0.145607 
0.533481 0.663682 0.612105 
0.386370 0.449953 0.539170 
0.457184 0.588339 0.391686 
0.407620 0.453634 0.468139 
0.445196 0.212386 0.381865 
0.274134 0.250674 0.487023 
0.672471 0.354307 0.319149 
0.635607 0.595547 0.553737 
0.450960 0.551346 0.536752 
0.396318 0.446715 0.604842 
0.462842 0.436284 0.328384 
0.599218 0.663583 0.511130 
0.312674 0.461094 0.405757 
0.643415 0.528360 0.557532 
0.751025 0.697324 0.697514 
